Test Date,X,Result
2019-02-02 09:00:00,76,16.2
2019-02-02 09:00:00,121,16.1
2019-02-02 09:00:00,176,16.1
2019-02-02 09:00:00,227,15.9
2019-02-02 09:00:00,275,16.0
2019-02-02 09:00:00,324,16.3
2019-02-02 09:00:00,370,16.1
2019-02-02 09:00:00,416,16.2
2019-02-02 09:00:00,461,16.2
2019-02-02 09:00:00,507,16.2
2019-02-02 09:00:00,562,16.3
2019-02-02 09:00:00,616,16.2
2019-02-02 09:00:00,666,16.1
2019-02-02 09:00:00,725,16.3
2019-02-02 09:00:00,772,16.0
2019-02-02 09:00:00,818,16.0
2019-02-02 09:00:00,863,16.0
2019-02-02 09:00:00,921,15.8
2019-02-02 09:00:00,974,16.1
2019-02-02 09:00:00,1023,16.2
2019-02-02 09:00:00,1075,16.3
2019-02-02 09:00:00,1124,16.1
2019-02-02 09:00:00,1179,16.2
2019-02-02 09:00:00,1239,16.0
2019-02-02 09:00:00,1277,16.1
2019-02-02 09:00:00,1313,16.0
2019-02-02 09:00:00,1356,16.1
2019-02-02 09:00:00,1409,16.1
2019-02-02 09:00:00,1470,16.3
2019-02-02 09:00:00,1530,16.1
2019-02-02 09:00:00,1581,16.1
2019-02-02 09:00:00,1629,16.3
2019-02-02 09:00:00,1671,16.5
2019-02-02 09:00:00,1720,16.6
2019-02-02 09:00:00,1778,16.5
2019-02-20 13:48:00,75,16.2
2019-02-20 13:48:00,129,16.1
2019-02-20 13:48:00,171,15.7
2019-02-20 13:48:00,220,15.2
2019-02-20 13:48:00,274,14.9
2019-02-20 13:48:00,328,14.6
2019-02-20 13:48:00,375,15.0
2019-02-20 13:48:00,419,15.1
2019-02-20 13:48:00,459,15.2
2019-02-20 13:48:00,509,15.2
2019-02-20 13:48:00,557,15.0
2019-02-20 13:48:00,600,14.7
2019-02-20 13:48:00,636,14.6
2019-02-20 13:48:00,677,14.4
2019-02-20 13:48:00,723,14.3
2019-02-20 13:48:00,772,14.1
2019-02-20 13:48:00,826,14.2
2019-02-20 13:48:00,871,14.2
2019-02-20 13:48:00,930,14.1
2019-02-20 13:48:00,978,14.3
2019-02-20 13:48:00,1020,14.4
2019-02-20 13:48:00,1062,14.4
2019-02-20 13:48:00,1117,14.5
2019-02-20 13:48:00,1171,14.4
2019-02-20 13:48:00,1219,14.5
2019-02-20 13:48:00,1271,14.4
2019-02-20 13:48:00,1319,14.5
2019-02-20 13:48:00,1374,14.4
2019-02-20 13:48:00,1426,14.3
2019-02-20 13:48:00,1477,14.8
2019-02-20 13:48:00,1521,14.7
2019-02-20 13:48:00,1580,14.3
2019-02-20 13:48:00,1629,14.7
2019-02-20 13:48:00,1677,15.6
2019-02-20 13:48:00,1774,16.0
2019-03-27 13:48:00,76,15.6
2019-03-27 13:48:00,129,15.4
2019-03-27 13:48:00,178,15.5
2019-03-27 13:48:00,224,14.8
2019-03-27 13:48:00,277,14.2
2019-03-27 13:48:00,327,14.2
2019-03-27 13:48:00,372,14.3
2019-03-27 13:48:00,422,14.6
2019-03-27 13:48:00,483,14.5
2019-03-27 13:48:00,531,14.3
2019-03-27 13:48:00,583,14.0
2019-03-27 13:48:00,628,13.4
2019-03-27 13:48:00,669,13.7
2019-03-27 13:48:00,727,13.7
2019-03-27 13:48:00,779,13.6
2019-03-27 13:48:00,826,13.8
2019-03-27 13:48:00,875,13.4
2019-03-27 13:48:00,928,13.2
2019-03-27 13:48:00,973,13.4
2019-03-27 13:48:00,1030,13.4
2019-03-27 13:48:00,1078,13.8
2019-03-27 13:48:00,1126,14.2
2019-03-27 13:48:00,1175,14.0
2019-03-27 13:48:00,1229,13.8
2019-03-27 13:48:00,1281,13.8
2019-03-27 13:48:00,1324,13.9
2019-03-27 13:48:00,1377,13.9
2019-03-27 13:48:00,1430,13.7
2019-03-27 13:48:00,1479,13.7
2019-03-27 13:48:00,1523,13.8
2019-03-27 13:48:00,1574,14.1
2019-03-27 13:48:00,1624,14.0
2019-03-27 13:48:00,1676,13.9
2019-03-27 13:48:00,1729,12.9
2019-03-27 13:48:00,1779,15.2
2019-05-24 16:12:00,74,16.0
2019-05-24 16:12:00,128,15.8
2019-05-24 16:12:00,174,15.2
2019-05-24 16:12:00,223,14.0
2019-05-24 16:12:00,277,13.5
2019-05-24 16:12:00,333,13.6
2019-05-24 16:12:00,377,13.9
2019-05-24 16:12:00,425,14.1
2019-05-24 16:12:00,476,14.0
2019-05-24 16:12:00,523,13.6
2019-05-24 16:12:00,573,13.0
2019-05-24 16:12:00,619,12.4
2019-05-24 16:12:00,675,11.9
2019-05-24 16:12:00,728,11.7
2019-05-24 16:12:00,779,11.9
2019-05-24 16:12:00,828,11.6
2019-05-24 16:12:00,881,11.8
2019-05-24 16:12:00,937,11.7
2019-05-24 16:12:00,977,11.7
2019-05-24 16:12:00,1026,12.1
2019-05-24 16:12:00,1075,11.9
2019-05-24 16:12:00,1127,12.6
2019-05-24 16:12:00,1176,12.3
2019-05-24 16:12:00,1227,13.0
2019-05-24 16:12:00,1287,13.0
2019-05-24 16:12:00,1334,12.9
2019-05-24 16:12:00,1379,13.0
2019-05-24 16:12:00,1424,13.1
2019-05-24 16:12:00,1481,13.0
2019-05-24 16:12:00,1528,12.1
2019-05-24 16:12:00,1579,11.9
2019-05-24 16:12:00,1627,12.1
2019-05-24 16:12:00,1677,15.3
2019-05-24 16:12:00,1726,16.1
2019-05-24 16:12:00,1777,16.2
2019-07-20 09:00:00,80,14.9
2019-07-20 09:00:00,127,13.6
2019-07-20 09:00:00,174,12.6
2019-07-20 09:00:00,226,12.0
2019-07-20 09:00:00,274,11.1
2019-07-20 09:00:00,324,9.0
2019-07-20 09:00:00,380,10.9
2019-07-20 09:00:00,429,11.6
2019-07-20 09:00:00,480,10.5
2019-07-20 09:00:00,527,10.7
2019-07-20 09:00:00,573,9.5
2019-07-20 09:00:00,620,8.9
2019-07-20 09:00:00,678,8.1
2019-07-20 09:00:00,728,8.1
2019-07-20 09:00:00,773,8.0
2019-07-20 09:00:00,829,7.9
2019-07-20 09:00:00,875,7.8
2019-07-20 09:00:00,927,7.8
2019-07-20 09:00:00,975,8.0
2019-07-20 09:00:00,1027,7.4
2019-07-20 09:00:00,1072,7.7
2019-07-20 09:00:00,1123,7.9
2019-07-20 09:00:00,1183,8.5
2019-07-20 09:00:00,1228,8.9
2019-07-20 09:00:00,1282,9.0
2019-07-20 09:00:00,1320,9.7
2019-07-20 09:00:00,1372,10.0
2019-07-20 09:00:00,1425,10.3
2019-07-20 09:00:00,1476,9.8
2019-07-20 09:00:00,1509,9.4
2019-07-20 09:00:00,1575,8.4
2019-07-20 09:00:00,1630,8.8
2019-07-20 09:00:00,1680,14.0
2019-07-20 09:00:00,1736,14.3
2019-07-20 09:00:00,1775,14.6
2019-09-13 16:12:00,75,15.2
2019-09-13 16:12:00,124,15.2
2019-09-13 16:12:00,171,14.4
2019-09-13 16:12:00,226,12.7
2019-09-13 16:12:00,280,10.2
2019-09-13 16:12:00,325,10.8
2019-09-13 16:12:00,382,10.8
2019-09-13 16:12:00,424,10.3
2019-09-13 16:12:00,470,9.6
2019-09-13 16:12:00,528,8.7
2019-09-13 16:12:00,578,7.5
2019-09-13 16:12:00,632,7.0
2019-09-13 16:12:00,675,7.7
2019-09-13 16:12:00,725,7.3
2019-09-13 16:12:00,775,6.7
2019-09-13 16:12:00,826,6.5
2019-09-13 16:12:00,869,6.0
2019-09-13 16:12:00,927,6.2
2019-09-13 16:12:00,978,6.9
2019-09-13 16:12:00,1024,7.2
2019-09-13 16:12:00,1082,7.5
2019-09-13 16:12:00,1134,7.8
2019-09-13 16:12:00,1183,8.5
2019-09-13 16:12:00,1227,9.1
2019-09-13 16:12:00,1280,8.9
2019-09-13 16:12:00,1327,8.8
2019-09-13 16:12:00,1379,8.9
2019-09-13 16:12:00,1422,8.5
2019-09-13 16:12:00,1481,8.3
2019-09-13 16:12:00,1525,7.9
2019-09-13 16:12:00,1574,7.4
2019-09-13 16:12:00,1629,8.3
2019-09-13 16:12:00,1678,10.2
2019-09-13 16:12:00,1725,15.0
2019-09-13 16:12:00,1776,15.5
