Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,CompressiveStrength
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90,58.78
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.46
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,29.59
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360,33.7
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57
356.0,0.0,142.0,193.0,11.0,801.0,778.0,28,40.87
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,61.23
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.18
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.7
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88
